villageId,census_eth,census_rlg,census_employ,census_noAgri,census_poverty,census_pop,ocensus_eth,ocensus_edu,ocensus_employ,ocensus_noAgri,ocensus_messagesPer100,ocensus_cluster,ocensus_nCommercial,ocensus_pop,pg_pg,pg_elec,pg_roadtype,pg_nursery,pg_govprim,pg_govhealth,pg_watersource,pg_toilets,pg_lg,pg_savingsgroup,pg_farmersgroup,pg_center,pg_biergarten,pg_market,pg_market_crops,pg_field,pg_dryspace,pg_instruments,pg_bicycle,pg_church,pg_mtn,pg_orange,pg_airtel,elections_turnoutRegistered,elections_turnoutAdultPop,elections_winShare,distArua,distHealth,distSchool,design_ctyMeet,design_diagMeet
49,0.00588226318359375,0.20814305543899536,0.9482758641242981,0.1515151560306549,-0.12747853994369507,166,0,0.525547444820404,0.4649122953414917,0.12857143580913544,19.827587127685547,OMBINDRIONDRIA,0,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8284.12371925,891.072107434,852.796395903,1,0
8,0.026635468006134033,0.5105476379394531,0.8999999761581421,0.2995169162750244,0.06668900698423386,215,0,0.3469387888908386,0.009259259328246117,1,3.846153736114502,AROI,0,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9280.47973593,293.452141877,1210.92455336,0,0
85,0,0,0.9363057613372803,0.08843537420034409,0.08957482129335403,147,0.03455764055252075,0.522988498210907,0.04878048598766327,0.4444444477558136,38.36478042602539,YINGA,1,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45173.8364534,0,1777.18931091,1,0
26,0.0084743499755859375,0.0084743499755859375,0.5538461804389954,0.0416666679084301,-0.22379054129123688,120,0.42914921045303345,0.48076921701431274,0.2559852600097656,0.11555555462837219,2.7484142780303955,IMVEPI,0,473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45145.7392033,846.849187733,1039.11737118,1,0
62,0.04291445016860962,0.2938501834869385,0.936923086643219,0.2773497700691223,-0.3693879246711731,612,0.021212339401245117,0.43968871235847473,0.5202020406723022,0.09890110045671463,20.089284896850586,OYIMA,2,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43569.6794828,0,1189.00934622,1,1
18,0.28867751359939575,0.27343904972076416,0.8991031646728516,0.9276807904243469,0.21917404234409332,415,0.31741487979888916,0.4983498454093933,0.643478274345398,0.6612903475761414,28.937728881835937,EDIOFE,0,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2704.08000902,470.455396304,1108.32178571,1,0
65,0.010761857032775879,0.3246387839317322,0.8070588111877441,0.3644315004348755,-0.04313647374510765,395,0.3896016478538513,0.5791583061218262,0.18398268520832062,0.0827067643404007,13.429256439208984,SIRIPI,1,417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41893.5512177,3922.90037119,2799.42339935,1,0
57,0.027069926261901855,0.10148292779922485,0.99303138256073,0.08421052992343903,0.1161198765039444,262,0.0040321946144104,0.35545024275779724,0.1034482792019844,0.25925925374031067,24.352331161499023,OTUMBARI,1,193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20944.1164027,649.173052599,765.728778344,1,0
86,0.0026075243949890137,0.10856980085372925,0.9342105388641357,0.08732394129037857,-0.19529205560684204,344,0.5217920541763306,0.526770293712616,0.2541436553001404,0.10778442770242691,2.4439918994903564,YINGA,0,491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49343.1109673,2495.56390845,3816.67794365,1,1
84,0.14887768030166626,0.40896499156951904,0.8468677401542664,0.8767123222351074,0.21130888164043427,394,0.11819934844970703,0.4048338234424591,0.3992537260055542,0.35185185074806213,8.333333015441895,VURRA,0,288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14195.2718628,1216.91046857,696.291667821,0,0
17,0.3813146948814392,0.4489316940307617,0.8992612361907959,0.9663928151130676,0.5612703561782837,1345,0.08130234479904175,0.5948827266693115,0.6424580812454224,0.7837837934494019,30.389610290527344,EDIOFE,0,385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1198.63030945,281.478736819,450.882080284,1,0
46,0.0070858001708984375,0.29046374559402466,0.8754717111587524,0.2068965584039688,-0.451734721660614,242,0,0.6076555252075195,0.04444444552063942,1,10.160428047180176,OJE,0,187,-0.07614398747682571,0,1,0,1,0,1,0,-0.6151806116104126,0,2,0,0,0,0,0,0,0,0,1,1,1,1,0.20273907482624054,0.19068023562431335,0.8586703460036045,13747.8663444,1330.66916144,31.450222628,1,0
12,0.16816973686218262,0.34550541639328003,0.9711538553237915,0.09900990128517151,0.028410641476511955,101,0.8452728986740112,0.5267175436019897,0.4467253088951111,0.9387308359146118,1.5906680822372437,BONDO,0,943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25107.6622014,1245.6011891,1204.19812205,0,0
